ESV Name,Name,KMZ Name,MSG Name,NLT Name,NIV Name,Lat,Lon,Passages,Comment
Alush,Dophkah,TBC,TBC,TBC,"Num 33:13, Num 33:14",0.0,0.0,TBC,TBC
Amad,TBC,TBC,Josh 19:26,TBC,TBC,33.019337,35.173644,TBC,TBC
Amalek,region,TBC,"Ex 17:8, Ex 17:9, Ex 17:10, Ex 17:11, Ex 17:13, Ex 17:14, Ex 17:16, Num 24:20, Deut 25:17, Deut 25:19, 1 Sam 15:2, 1 Sam 15:3, 1 Sam 15:5, 1 Sam 15:20, 1 Sam 28:18, 2 Sam 8:12, 1 Chr 18:11, Ps 83:7",TBC,TBC,30.65977,34.835554,TBC,TBC
Amam,Moladah,TBC,TBC,TBC,Josh 15:26,0.0,0.0,TBC,TBC
Amana,TBC,TBC,Sng 4:8,TBC,TBC,33.68137,36.055039,TBC,TBC
Amaw,Pethor,TBC,TBC,TBC,Num 22:5,0.0,0.0,TBC,TBC
Ammah,TBC,TBC,2 Sam 2:24,TBC,TBC,31.869005,35.343177,TBC,TBC
Ammon,"Rabbah (Philadelphia, Amman)",TBC,TBC,TBC,"Deut 2:19, Deut 2:37, Judg 11:27, 2 Chr 20:10, 2 Chr 20:22, 2 Chr 20:23, Neh 13:23, Ps 83:7, Jer 9:26, Jer 25:21, Jer 27:3, Ezek 25:5",0.0,0.0,TBC,TBC
Amphipolis,Amphipolis,TBC,TBC,TBC,Acts 17:1,0.0,0.0,TBC,TBC
Anab,TBC,TBC,"Josh 11:21, Josh 15:50",TBC,TBC,31.403888,34.944185,TBC,TBC
Anaharath,TBC,TBC,Josh 19:19,TBC,TBC,32.607039,35.397389,TBC,TBC
Ananiah,TBC,TBC,Neh 11:32,TBC,TBC,31.83291,35.219683,TBC,TBC
Anathoth,Anathoth,TBC,TBC,TBC,"Josh 21:18, 2 Sam 23:27, 1 Kgs 2:26, 1 Chr 6:60, 1 Chr 11:28, 1 Chr 12:3, 1 Chr 27:12, Ezra 2:23, Neh 7:27, Neh 11:32, Isa 10:30, Jer 1:1, Jer 11:21, Jer 11:23, Jer 29:27, Jer 32:7, Jer 32:8, Jer 32:9",0.0,0.0,TBC,TBC
Anem,En-gannim 2,TBC,TBC,TBC,1 Chr 6:73,0.0,0.0,TBC,TBC
Aner,Taanach,TBC,TBC,TBC,1 Chr 6:70,0.0,0.0,TBC,TBC
Angle,<Jerusalem,TBC,TBC,TBC,2 Chr 26:9,0.0,0.0,TBC,TBC
Anim,TBC,TBC,Josh 15:50,TBC,TBC,31.373521,35.074552,TBC,TBC
