ESV Name,Name,KMZ Name,MSG Name,NLT Name,NIV Name,Lat,Lon,Passages,Comment
Shiloh,Shiloh,TBC,TBC,TBC,"Josh 18:1, Josh 18:8, Josh 18:9, Josh 18:10, Josh 19:51, Josh 21:2, Josh 22:9, Josh 22:12, Judg 18:31, Judg 21:12, Judg 21:19, Judg 21:21, 1 Sam 1:3, 1 Sam 1:9, 1 Sam 1:24, 1 Sam 2:14, 1 Sam 3:21, 1 Sam 4:3, 1 Sam 4:4, 1 Sam 4:12, 1 Sam 14:3, 1 Kgs 2:27, 1 Kgs 14:2, 1 Kgs 14:4, Ps 78:60, Jer 7:12, Jer 7:14, Jer 26:6, Jer 26:9, Jer 41:5",0.0,0.0,N/A,N/A
Shimron,Shimron,TBC,TBC,TBC,"Josh 11:1, Josh 19:15",0.0,0.0,N/A,N/A
Shimron-meron,Shimron,TBC,TBC,TBC,Josh 12:20,0.0,0.0,N/A,N/A
Shinar,Mesopotamia,region,TBC,TBC,"Gen 10:10, Gen 11:2, Gen 14:1, Gen 14:9, Josh 7:21, Isa 11:11, Dan 1:2, Zech 5:11",0.0,0.0,N/A,N/A
Shion,TBC,TBC,Josh 19:19,TBC,TBC,32.716666,35.333334,N/A,N/A
Shittim,Abel-shittim,TBC,TBC,TBC,"Num 25:1, Josh 2:1, Josh 3:1, Mic 6:5",0.0,0.0,N/A,N/A
Shoa,Koa,TBC,TBC,TBC,Ezek 23:23,0.0,0.0,N/A,N/A
Shual,Ophrah 1,TBC,TBC,TBC,1 Sam 13:17,0.0,0.0,N/A,N/A
Shunem,Shunem,TBC,TBC,TBC,"Josh 19:18, 1 Sam 28:4, 2 Kgs 4:8",0.0,0.0,N/A,N/A
Shur,TBC,TBC,"Gen 16:7, Gen 20:1, Gen 25:18, Ex 15:22, 1 Sam 15:7, 1 Sam 27:8",TBC,TBC,30.2354,33.247,N/A,N/A
Sibmah,TBC,TBC,"Num 32:38, Josh 13:19, Isa 16:8, Isa 16:9, Jer 48:32",TBC,TBC,31.815283,35.766738,N/A,N/A
Sibraim,Hamath,TBC,TBC,TBC,Ezek 47:16,0.0,0.0,N/A,N/A
Sidon,Sidon,TBC,TBC,TBC,"Gen 10:19, Gen 49:13, Judg 1:31, Judg 10:6, Judg 18:28, 2 Sam 24:6, 1 Kgs 17:9, Isa 23:2, Isa 23:4, Isa 23:12, Jer 25:22, Jer 27:3, Jer 47:4, Ezek 27:8, Ezek 28:21, Ezek 28:22, Joel 3:4, Zech 9:2, Matt 11:21, Matt 11:22, Matt 15:21, Mark 3:8, Mark 7:24, Mark 7:31, Luke 4:26, Luke 6:17, Luke 10:13, Luke 10:14, Acts 12:20, Acts 27:3",0.0,0.0,N/A,N/A
Sidon the Great,Sidon,TBC,TBC,TBC,Josh 19:28,0.0,0.0,N/A,N/A
Silla,Jerusalem,TBC,TBC,TBC,2 Kgs 12:20,0.0,0.0,N/A,N/A
Siloam,Pool of Shelah,TBC,TBC,TBC,"Luke 13:4, John 9:7, John 9:11",0.0,0.0,N/A,N/A
Sin,region,TBC,"Ex 16:1, Ex 17:1, Num 33:11, Num 33:12",TBC,TBC,28.838778,33.420573,N/A,N/A
Sinai,Mount Sinai,TBC,TBC,TBC,"Ex 16:1, Ex 19:1, Ex 19:2, Lev 7:38, Num 1:1, Num 1:19, Num 3:4, Num 3:14, Num 9:1, Num 9:5, Num 10:12, Num 26:64, Num 33:15, Num 33:16, Deut 33:2, Judg 5:5, Ps 68:17",0.0,0.0,N/A,N/A
Siphmoth,Eshtemoa,TBC,TBC,TBC,1 Sam 30:28,0.0,0.0,N/A,N/A
Sirah,TBC,TBC,2 Sam 3:26,TBC,TBC,31.55,35.1,N/A,N/A
Sirion,Mount Hermon,TBC,TBC,TBC,"Deut 3:9, Ps 29:6, Jer 18:14",0.0,0.0,N/A,N/A
Sitnah,Gerar,TBC,TBC,TBC,Gen 26:21,0.0,0.0,N/A,N/A
Smyrna,Smyrna,TBC,TBC,TBC,"Rev 1:11, Rev 2:8",0.0,0.0,N/A,N/A
Soco,Socoh 1,TBC,TBC,TBC,"2 Chr 11:7, 2 Chr 28:18",0.0,0.0,N/A,N/A
Socoh 1,Socoh,TBC,TBC,TBC,"Josh 15:35, 1 Sam 17:1, 1 Kgs 4:10",0.0,0.0,N/A,N/A
Socoh 2,Debir 1,TBC,TBC,TBC,Josh 15:48,0.0,0.0,N/A,N/A
Sodom,Sodom,TBC,TBC,TBC,"Gen 10:19, Gen 13:10, Gen 13:12, Gen 13:13, Gen 14:2, Gen 14:8, Gen 14:10, Gen 14:11, Gen 14:12, Gen 14:17, Gen 14:21, Gen 14:22, Gen 18:16, Gen 18:20, Gen 18:22, Gen 18:26, Gen 19:1, Gen 19:4, Gen 19:24, Gen 19:28, Deut 29:23, Deut 32:32, Isa 1:9, Isa 1:10, Isa 3:9, Isa 13:19, Jer 23:14, Jer 49:18, Jer 50:40, Lam 4:6, Ezek 16:46, Ezek 16:48, Ezek 16:49, Ezek 16:53, Ezek 16:55, Ezek 16:56, Amos 4:11, Zeph 2:9, Matt 10:15, Matt 11:23, Matt 11:24, Luke 10:12, Luke 17:29, Rom 9:29, 2 Pet 2:6, Jude 1:7, Rev 11:8",0.0,0.0,N/A,N/A
Solomon's,Solomon's Portico,TBC,TBC,TBC,Acts 3:11,0.0,0.0,N/A,N/A
Solomon's Portico,<Jerusalem,KMZ:Solomons porch,TBC,TBC,Acts 5:12,0.0,0.0,N/A,N/A
South,TBC,TBC,TBC,TBC,"Zech 7:7, Matt 12:42, Luke 11:31",0.0,0.0,N/A,N/A
Spain,region,TBC,"Rom 15:24, Rom 15:28",TBC,TBC,40.481391,-3.175332,N/A,N/A
Straight,Damascus,TBC,TBC,TBC,Acts 9:11,0.0,0.0,N/A,N/A
Succoth 1,Succoth [32.2 x 35.6],TBC,TBC,TBC,"Gen 33:17, Josh 13:27, Judg 8:5, Judg 8:6, Judg 8:8, Judg 8:14, Judg 8:15, Judg 8:16, 1 Kgs 7:46, 2 Chr 4:17",0.0,0.0,N/A,N/A
Succoth 2,Succoth [30.6 x 32.2],TBC,TBC,TBC,"Ex 12:37, Ex 13:20, Num 33:5, Num 33:6",0.0,0.0,N/A,N/A
Suph,Red Sea,TBC,TBC,TBC,Deut 1:1,0.0,0.0,N/A,N/A
Suphah,Suph,TBC,TBC,TBC,Num 21:14,0.0,0.0,N/A,N/A
Sur,<Jerusalem,TBC,TBC,TBC,2 Kgs 11:6,0.0,0.0,N/A,N/A
Susa,Susa,TBC,TBC,TBC,"Ezra 4:9, Neh 1:1, Est 1:2, Est 1:5, Est 2:3, Est 2:5, Est 2:8, Est 3:15, Est 4:8, Est 4:16, Est 8:14, Est 8:15, Est 9:6, Est 9:11, Est 9:12, Est 9:13, Est 9:14, Est 9:15, Est 9:18, Dan 8:2",0.0,0.0,N/A,N/A
Sychar,Sychar,TBC,TBC,TBC,John 4:5,0.0,0.0,N/A,N/A
Syene,now Aswan,TBC,"Isa 49:12, Ezek 29:10, Ezek 30:6",TBC,TBC,24.066181,32.895862,N/A,N/A
Syracuse,Syracuse,TBC,TBC,TBC,Acts 28:12,0.0,0.0,N/A,N/A
Syria,Damascus,region,TBC,TBC,"Judg 10:6, 1 Kgs 10:29, 1 Kgs 11:25, 1 Kgs 15:18, 1 Kgs 19:15, 1 Kgs 20:1, 1 Kgs 20:20, 1 Kgs 20:22, 1 Kgs 20:23, 1 Kgs 22:1, 1 Kgs 22:3, 1 Kgs 22:31, 2 Kgs 5:1, 2 Kgs 5:5, 2 Kgs 6:8, 2 Kgs 6:11, 2 Kgs 6:24, 2 Kgs 8:7, 2 Kgs 8:9, 2 Kgs 8:13, 2 Kgs 8:28, 2 Kgs 8:29, 2 Kgs 9:14, 2 Kgs 9:15, 2 Kgs 12:17, 2 Kgs 12:18, 2 Kgs 13:3, 2 Kgs 13:4, 2 Kgs 13:7, 2 Kgs 13:17, 2 Kgs 13:19, 2 Kgs 13:22, 2 Kgs 13:24, 2 Kgs 15:37, 2 Kgs 16:5, 2 Kgs 16:6, 2 Kgs 16:7, 1 Chr 18:6, 2 Chr 1:17, 2 Chr 16:2, 2 Chr 16:7, 2 Chr 18:30, 2 Chr 22:5, 2 Chr 22:6, 2 Chr 28:5, 2 Chr 28:23, Isa 7:1, Isa 7:2, Isa 7:4, Isa 7:5, Isa 7:8, Isa 17:3, Ezek 16:57, Ezek 27:16, Amos 1:5, Matt 4:24, Luke 2:2, Acts 15:23, Acts 15:41, Acts 18:18, Acts 20:3, Acts 21:3, Gal 1:21",0.0,0.0,N/A,N/A
Syrtis,TBC,TBC,Acts 27:17,TBC,TBC,31.766667,18.505556,N/A,N/A
Taanach,Taanach,TBC,TBC,TBC,"Josh 12:21, Josh 17:11, Josh 21:25, Judg 1:27, Judg 5:19, 1 Kgs 4:12, 1 Chr 7:29",0.0,0.0,N/A,N/A
Taanath-shiloh,TBC,TBC,Josh 16:6,TBC,TBC,32.15,35.383333,N/A,N/A
Tabbath,Abel-meholah,TBC,TBC,TBC,Judg 7:22,0.0,0.0,N/A,N/A
Taberah,Kibroth-hattaavah,TBC,TBC,TBC,"Num 11:3, Deut 9:22",0.0,0.0,N/A,N/A
