"      data-Oct-16-sc profit: , -8175"
"      data-Oct-17-sc profit: , 20250"
"      data-Oct-18-sc profit: , -20625"
"      data-Oct-19-sc profit: , 8250"
"      data-Oct-20-sc profit: , -15975"
"      data-Oct-22-sc profit: , 150"
"      data-Oct-23-sc profit: , -750"
"      data-Oct-24-sc profit: , -2625"
"      data-Oct-25-sc profit: , -7200"
"      data-Oct-26-sc profit: , 8475"
"      data-Oct-27-sc profit: , -16800"
"      data-Oct-29-sc profit: , 150"
"      data-Oct-30-sc profit: , 3600"
"      data-Oct-31-sc profit: , -1950"
"      data-Nov-01-sc profit: , 2700"
"      data-Nov-02-sc profit: , 3150"
"      data-Nov-03-sc profit: , -5925"
"      data-Nov-05-sc profit: , 600"
"      data-Nov-06 profit: , 300"
"      data-Nov-06-sc profit: , -4200"
"      data-Nov-07-sc profit: , -11025"
"      data-Nov-08 profit: , 4050"
"      data-Nov-08-sc profit: , 1350"
"      data-Nov-09-sc profit: , 3825"
"      data-Nov-10-sc profit: , 1650"
"      data-Nov-12-sc profit: , 0"
"      data-Nov-13 profit: , 4125"
"      data-Nov-13-rep profit: , 4275"
"      data-Nov-13-sc profit: , 2475"
"      data-Nov-14-sc profit: , 17025"
"      data-Nov-15-rep profit: , -8250"
"      data-Nov-15-sc profit: , 0"
"      data-Nov-16 profit: , 1500"
"      data-Nov-16-rep profit: , 3375"
"      data-Nov-16-sc profit: , 2175"
"      data-Nov-17-rep profit: , 675"
"      data-Nov-17-sc profit: , 1650"
"      data-Nov-19-sc profit: , 0"
"      data-Nov-20 profit: , 600"
"      data-Nov-20-sc profit: , 7875"
"      data-Nov-21-sc profit: , 225"
"      data-Nov-22-sc profit: , -825"
"      data-Nov-23-sc profit: , 300"
"      data-Nov-24-sc profit: , -3000"
"      data-Nov-26-sc profit: , 0"
"      data-Nov-27-sc profit: , -13425"
"      data-Nov-28-sc profit: , -6375"
"      data-Nov-29-sc profit: , 2850"
"      data-Nov-30-sc profit: , 6900"
"      data-Dec-01-sc profit: , 3600"
"      data-Dec-03-sc profit: , 0"
"      data-Dec-04-sc profit: , -2775"
"      data-Dec-05-sc profit: , -11625"
"      data-Dec-06-sc profit: , 7125"
"      data-Dec-07-sc profit: , -3300"
"      data-Dec-08-sc profit: , 6900"
"      data-Dec-09-rep profit: , 10875"
"      data-Dec-10-sc profit: , 0"
"      data-Dec-11-sc profit: , 750"
"      data-Dec-12-sc profit: , 5850"
"      data-Dec-13-sc profit: , -1950"
"      data-Dec-14-sc profit: , 2025"
